drain TotalCurrent(BV_n44_des) X,drain TotalCurrent(BV_n44_des) Y,drain TotalCurrent(BV_n53_des) X,drain TotalCurrent(BV_n53_des) Y
1e-05,3.3124604e-11,1e-05,2.8793302e-11
2.5e-05,8.2808904e-11,2.5e-05,7.1974761e-11
4.75e-05,1.573788e-10,4.75e-05,1.3675212e-10
8.125e-05,2.6946157e-10,8.125e-05,2.3397979e-10
0.000131875,4.385473e-10,0.000131875,3.8013186e-10
0.0002078125,6.9589159e-10,0.0002078125,6.0065866e-10
0.00032171875,1.0957504e-09,0.00032171875,9.3645306e-10
0.00049257812,1.7470671e-09,0.00049257812,1.4587981e-09
0.00074886719,2.9251418e-09,0.00074886719,2.3120409e-09
0.0011333008,5.5996847e-09,0.0011333008,3.8670634e-09
0.0017099512,1.5270997e-08,0.0017099512,7.4810562e-09
0.0019261951,2.1833587e-08,0.002142439,1.2449262e-08
0.0020072865,2.4138816e-08,0.0024668048,1.8844449e-08
0.0021289237,2.6976117e-08,0.0027100792,2.5298387e-08
0.0022201516,2.8710612e-08,0.002892535,3.0124537e-08
0.0023569935,3.1013262e-08,0.0030293768,3.3337962e-08
0.0025622562,3.4248732e-08,0.0031320082,3.5471893e-08
0.0027162033,3.6651226e-08,0.0032089817,3.6932598e-08
0.0029471239,4.0284701e-08,0.003324442,3.8948162e-08
0.0031203143,4.3034542e-08,0.0034110373,4.0355552e-08
0.0033801,4.7197512e-08,0.0035409301,4.2361262e-08
0.0035749393,5.0347828e-08,0.0036383497,4.3812115e-08
0.0038671982,5.5115585e-08,0.0037114145,4.4883274e-08
0.0040863924,5.8722362e-08,0.0038210115,4.6475543e-08
0.0044151836,6.4178795e-08,0.0039032094,4.766312e-08
0.004661777,6.8304833e-08,0.0040265061,4.9441913e-08
0.0050316672,7.4543904e-08,0.0041189786,5.0775688e-08
0.0053090848,7.9259436e-08,0.004188333,5.1777571e-08
0.0057252113,8.6386018e-08,0.0042923646,5.328283e-08
0.0060373061,9.1769269e-08,0.0043703883,5.4414614e-08
0.0065054483,9.9899909e-08,0.0044874239,5.6115905e-08
0.006856555,1.060376e-07,0.0045752006,5.7395348e-08
0.007383215,1.1530116e-07,0.0047068656,5.9320496e-08
0.00777821,1.2228892e-07,0.0048056143,6.0767534e-08
0.0083707025,1.328271e-07,0.0048796759,6.1855612e-08
0.0088150719,1.4076976e-07,0.0049907682,6.3491638e-08
0.009481626,1.5273742e-07,0.0050740875,6.4720956e-08
0.0099815416,1.617492e-07,0.0051990664,6.6569859e-08
0.010731415,1.7531453e-07,0.0052928006,6.795938e-08
0.011856225,1.9574474e-07,0.0054334018,7.0049565e-08
0.012699832,2.1111273e-07,0.0055388527,7.1619427e-08
0.013332538,2.226556e-07,0.0056179409,7.2800255e-08
0.014281596,2.3998564e-07,0.0057365733,7.4575837e-08
0.015705184,2.6599078e-07,0.0058255475,7.5909269e-08
0.016772875,2.8548331e-07,0.0059590088,7.7913968e-08
0.018374411,3.1467878e-07,0.0060591048,7.9419951e-08
0.019575563,3.3652337e-07,0.0061341768,8.0551057e-08
0.020476427,3.5287797e-07,0.0062467848,8.2250898e-08
0.021827723,3.7734937e-07,0.0063312409,8.3527543e-08
0.022841195,3.9565592e-07,0.0064579249,8.5446199e-08
0.024361404,4.2304106e-07,0.0065529379,8.6887243e-08
0.02550156,4.4352463e-07,0.0066241976,8.7969513e-08
0.027211794,4.7416784e-07,0.0067310873,8.9595164e-08
0.028494469,4.9709573e-07,0.0068112545,9.0815701e-08
0.029456476,5.1427076e-07,0.0069315053,9.2649386e-08
0.030899486,5.4000535e-07,0.0070216935,9.4026226e-08
0.031981744,5.5929499e-07,0.0071569756,9.6094988e-08
0.03360513,5.8823259e-07,0.0072584373,9.7648418e-08
0.03482267,6.0995391e-07,0.0074106298,9.9982722e-08
0.036648979,6.4259852e-07,0.0075247741,1.0173582e-07
0.038018711,6.6715797e-07,0.0076959906,1.0436989e-07
0.039046011,6.8563136e-07,0.007824403,1.0634793e-07
0.040586959,7.1345301e-07,0.0079207123,1.078331e-07
0.041742671,7.344303e-07,0.0080651763,1.1006394e-07
0.043476238,7.6609173e-07,0.0081735242,1.1173865e-07
0.044776414,7.9001931e-07,0.0083360462,1.1425438e-07
0.046726677,8.2624842e-07,0.0084579376,1.1614294e-07
0.048189374,8.5371833e-07,0.0086407748,1.1898006e-07
0.049286397,8.7450658e-07,0.0087779027,1.2111017e-07
0.050931932,9.0601322e-07,0.0089835945,1.2430996e-07
0.052166083,9.2991405e-07,0.0091378634,1.267115e-07
0.054017309,9.6624088e-07,0.0093692667,1.3031998e-07
0.055405729,9.93883e-07,0.0095428191,1.3302815e-07
0.057488359,1.0360304e-06,0.0098031479,1.3709717e-07
0.059050331,1.0682109e-06,0.0099983944,1.4015184e-07
0.06139329,1.1174579e-06,0.010291264,1.4473716e-07
0.063150508,1.1552018e-06,0.010510917,1.4818272e-07
0.064468423,1.1839869e-06,0.010840395,1.533532e-07
0.066445294,1.2279597e-06,0.011087504,1.5723469e-07
0.067927947,1.2615887e-06,0.011458167,1.630616e-07
0.070151927,1.3131145e-06,0.011736165,1.6743486e-07
0.071819912,1.3526404e-06,0.012153161,1.7399867e-07
0.07432189,1.4133996e-06,0.012465908,1.7892381e-07
0.076198373,1.4601651e-06,0.012935029,1.8631394e-07
0.079013098,1.5323093e-06,0.01328687,1.9185746e-07
0.081124141,1.58804e-06,0.013814631,2.0017185e-07
0.082707424,1.6307794e-06,0.014210451,2.0640824e-07
0.085082348,1.6964392e-06,0.014804182,2.1575735e-07
0.088644734,1.7985315e-06,0.015249481,2.2276523e-07
0.091316524,1.8780302e-06,0.015917428,2.332683e-07
0.093320366,1.9393537e-06,0.016418388,2.4113738e-07
0.096326129,2.0341344e-06,0.017169829,2.5292567e-07
0.098580452,2.1074735e-06,0.01773341,2.6175338e-07
0.10196194,2.2212019e-06,0.018578781,2.7497127e-07
0.10449805,2.3094948e-06,0.019846837,2.9474048e-07
0.10830222,2.4468494e-06,0.020797879,3.0951965e-07
0.11115534,2.5538177e-06,0.022224443,3.316103e-07
0.11543503,2.7207731e-06,0.024364288,3.645754e-07
0.1186448,2.8512213e-06,0.027574056,4.1368889e-07
0.12345945,3.0555117e-06,0.029981381,4.5033543e-07
0.12707044,3.2156742e-06,0.031786876,4.7776749e-07
0.12977868,3.3397903e-06,0.033140996,4.9833015e-07
0.13384105,3.5325194e-06,0.035172178,5.2923174e-07
0.13688782,3.682334e-06,0.036695563,5.5242741e-07
0.14145797,3.9157296e-06,0.037838103,5.6994753e-07
0.14831321,4.2859499e-06,0.039551912,5.9628105e-07
0.15345464,4.5800329e-06,0.040837269,6.1613955e-07
0.16116678,5.0486537e-06,0.042765304,6.4617406e-07
0.17273499,5.8166049e-06,0.04421133,6.6886965e-07
0.18141115,6.4467362e-06,0.04529585,6.8608255e-07
0.19442539,7.4846894e-06,0.04692263,7.1209562e-07
0.21394674,9.264831e-06,0.048142715,7.318125e-07
0.24322878,1.2488246e-05,0.049972842,7.6175499e-07
0.28715183,1.8774329e-05,0.051345437,7.8451408e-07
0.35303641,3.2535196e-05,0.05340433,8.1923104e-07
0.45186327,6.7917912e-05,0.0549485,8.457235e-07
0.60010357,0.00017784536,0.056106627,8.658703e-07
-,-,0.057843818,8.9656035e-07
-,-,0.059146712,9.1996471e-07
-,-,0.061101051,9.5572281e-07
-,-,0.062566806,9.8307467e-07
-,-,0.064765439,1.0250116e-06
-,-,0.066414413,1.0572e-06
-,-,0.067651144,1.0817707e-06
-,-,0.06950624,1.1193387e-06
-,-,0.070897562,1.1480899e-06
-,-,0.072984545,1.1921709e-06
-,-,0.074549782,1.2260026e-06
-,-,0.076897638,1.2780272e-06
-,-,0.07865853,1.3180791e-06
-,-,0.081299868,1.3798745e-06
-,-,0.083280872,1.4276096e-06
-,-,0.084766624,1.4642123e-06
-,-,0.086995253,1.5204349e-06
-,-,0.088666725,1.5636607e-06
-,-,0.091173932,1.6302448e-06
-,-,0.093054338,1.6815843e-06
-,-,0.095874946,1.7609033e-06
-,-,0.097990403,1.8222478e-06
-,-,0.10116359,1.9173263e-06
-,-,0.10354348,1.9910934e-06
-,-,0.10711331,2.1057958e-06
-,-,0.10979068,2.1950831e-06
-,-,0.11380674,2.3343826e-06
-,-,0.11681879,2.4431813e-06
-,-,0.12133686,2.6135082e-06
-,-,0.12472541,2.7470057e-06
-,-,0.12980824,2.9567607e-06
-,-,0.13362036,3.1217726e-06
-,-,0.13933854,3.3820657e-06
-,-,0.14362718,3.587666e-06
-,-,0.15006013,3.9133834e-06
-,-,0.15488485,4.1717914e-06
-,-,0.16212192,4.5830086e-06
-,-,0.16754973,4.9106688e-06
-,-,0.17569143,5.4344065e-06
-,-,0.18179772,5.8536105e-06
