drain TotalCurrent(BV_0n45_des) X,drain TotalCurrent(BV_0n45_des) Y,drain TotalCurrent(BV_4.28e10n52_des) X,drain TotalCurrent(BV_4.28e10n52_des) Y
1e-05,3.3124593e-11,1e-05,2.3439287e-11
2.5e-05,8.2808907e-11,2.5e-05,5.8593289e-11
4.75e-05,1.5737879e-10,4.75e-05,1.1134745e-10
8.125e-05,2.6946159e-10,8.125e-05,1.9060931e-10
0.000131875,4.385473e-10,0.000131875,3.1006452e-10
0.0002078125,6.9589158e-10,0.0002078125,4.9144293e-10
0.00032171875,1.0957504e-09,0.00032171875,7.7171551e-10
0.00049257812,1.747067e-09,0.00049257812,1.2225549e-09
0.00074886719,2.9251417e-09,0.00074886719,2.0157868e-09
0.0011333008,5.5996844e-09,0.0011333008,3.7119067e-09
0.0017099512,1.5270996e-08,0.0017099512,9.2532755e-09
0.0019261951,2.1833587e-08,0.0019261951,1.3511192e-08
0.0020072865,2.4138816e-08,0.002088378,1.7752359e-08
0.0021289237,2.6976117e-08,0.0022100152,2.0972626e-08
0.0022201516,2.8710612e-08,0.0023012431,2.3050766e-08
0.0023569935,3.1013262e-08,0.002369664,2.4377887e-08
0.0025622562,3.4248732e-08,0.0024722954,2.6086478e-08
0.0027162033,3.6651226e-08,0.0026262424,2.8291857e-08
0.0029471239,4.0284701e-08,0.0028571631,3.1334933e-08
0.0031203143,4.3034542e-08,0.0030303535,3.3586533e-08
0.0033801,4.7197512e-08,0.0031602464,3.5285811e-08
0.0035749393,5.0347828e-08,0.0033550856,3.7853689e-08
0.0038671982,5.5115585e-08,0.0035012151,3.9794084e-08
0.0040863924,5.8722362e-08,0.0037204092,4.2727058e-08
0.0044151836,6.4178795e-08,0.0038848049,4.4943517e-08
0.004661777,6.8304833e-08,0.0041313983,4.8293804e-08
0.0050316672,7.4543904e-08,0.0043163434,5.0825494e-08
0.0053090848,7.9259436e-08,0.004593761,5.4652084e-08
0.0057252113,8.6386018e-08,0.0048018242,5.7543217e-08
0.0060373061,9.1769269e-08,0.005113919,6.1912423e-08
0.0065054483,9.9899909e-08,0.0053479902,6.5213118e-08
0.006856555,1.060376e-07,0.0056990968,7.0199844e-08
0.007383215,1.1530116e-07,0.0059624268,7.3966021e-08
0.00777821,1.2228892e-07,0.0063574218,7.9654134e-08
0.0083707025,1.328271e-07,0.0066536681,8.3948462e-08
0.0088150719,1.4076976e-07,0.0070980375,9.0431541e-08
0.009481626,1.5273742e-07,0.0074313145,9.5323806e-08
0.0099815416,1.617492e-07,0.0079312301,1.0270579e-07
0.010731415,1.7531453e-07,0.0083061668,1.082733e-07
0.011856225,1.9574474e-07,0.0088685718,1.1666901e-07
0.012699832,2.1111273e-07,0.0092903755,1.2299693e-07
0.013332538,2.226556e-07,0.0099230811,1.3253252e-07
0.014281596,2.3998564e-07,0.01087214,1.4691805e-07
