drain TotalCurrent(IdVd_0_1.5_n40_des) X,drain TotalCurrent(IdVd_0_1.5_n40_des) Y,drain TotalCurrent(IdVd_4.28e10_1.5_n67_des) X,drain TotalCurrent(IdVd_4.28e10_1.5_n67_des) Y
0.03,4.4920193e-05,0.03,4.4550647e-05
0.06,8.5191232e-05,0.06,8.4457898e-05
0.09,0.00012097591,0.09,0.00011987334
0.12,0.00015258889,0.12,0.00015110844
0.15,0.00018040916,0.15,0.00017854039
0.18,0.00020485311,0.18,0.00020258381
0.21,0.00022635539,0.21,0.00022367254
0.24,0.00024535404,0.24,0.00024224598
0.27,0.00026227671,0.27,0.00025873595
0.3,0.00027752705,0.3,0.0002735529
0.33,0.00029147216,0.33,0.00028707216
0.36,0.00030443251,0.36,0.00029962215
0.39,0.0003166754,0.39,0.00031147644
0.42,0.00032841328,0.42,0.00032285107
0.45,0.00033980698,0.45,0.00033390788
0.48,0.00035097326,0.48,0.00034476258
0.51,0.00036199481,0.51,0.00035549564
0.54,0.00037292983,0.54,0.00036616223
0.57,0.00038381856,0.57,0.00037679952
0.6,0.00039468776,0.6,0.00038743134
0.63,0.00040555415,0.63,0.00039807194
0.66,0.00041642713,0.66,0.00040872876
0.69,0.00042731105,0.69,0.00041940478
0.72,0.00043820641,0.72,0.0004300995
0.75,0.0004491111,0.75,0.00044081005
0.78,0.00046002161,0.78,0.00045153226
0.81,0.0004709335,0.81,0.00046226119
0.84,0.0004818416,0.84,0.0004729913
0.87,0.00049274065,0.87,0.00048371697
0.9,0.0005036257,0.9,0.00049443298
0.93,0.00051449255,0.93,0.00050513492
0.96,0.00052533812,0.96,0.00051581957
0.99,0.00053616051,0.99,0.00052648496
1.02,0.00054695869,1.02,0.00053713005
1.05,0.0005577321,1.05,0.00054775431
1.08,0.00056848011,1.08,0.00055835714
1.11,0.00057920161,1.11,0.00056893755
1.14,0.00058989335,1.14,0.00057949257
1.17,0.00060055398,1.17,0.00059002031
1.2,0.00061117815,1.2,0.00060051641
1.23,0.00062176412,1.23,0.00061097773
1.26,0.00063230773,1.26,0.00062140091
1.29,0.00064280379,1.29,0.00063178018
1.32,0.00065324964,1.32,0.00064211283
1.35,0.00066364141,1.35,0.00065239467
1.38,0.00067397564,1.38,0.00066262203
1.41,0.00068424961,1.41,0.00067279195
1.44,0.00069446142,1.44,0.00068290222
1.47,0.00070461069,1.47,0.00069295236
1.5,0.00071469809,1.5,0.00070294302
1.53,0.0007247216,1.53,0.00071287162
1.56,0.0007346811,1.56,0.00072273833
1.59,0.0007445835,1.59,0.00073254977
1.62,0.00075443154,1.62,0.00074230831
1.65,0.00076422708,1.65,0.00075201572
1.68,0.0007739683,1.68,0.00076166958
1.71,0.00078365688,1.71,0.00077127164
1.74,0.00079329422,1.74,0.00078082338
1.77,0.00080288163,1.77,0.0007903256
1.8,0.0008124185,1.8,0.00079977758
1.83,0.00082190408,1.83,0.00080917868
1.86,0.00083133356,1.86,0.00081852251
1.89,0.00084070633,1.89,0.00082781124
1.92,0.00085002452,1.92,0.00083704576
1.95,0.00085928674,1.95,0.00084622487
1.98,0.000868492,1.98,0.00085534775
2.01,0.00087763968,2.01,0.00086441389
2.04,0.00088672928,2.04,0.00087342316
2.07,0.00089576127,2.07,0.00088237614
2.1,0.00090473634,2.1,0.00089127354
2.13,0.00091365551,2.13,0.00090011654
2.16,0.00092252004,2.16,0.00090890644
2.19,0.00093133126,2.19,0.00091764453
2.22,0.00094008969,2.22,0.00092633117
2.25,0.00094879707,2.25,0.00093496843
2.28,0.00095745486,2.28,0.00094355741
2.31,0.00096606388,2.31,0.00095209879
2.34,0.00097462484,2.34,0.00096059307
2.37,0.00098313821,2.37,0.00096904055
2.4,0.0009916044,2.4,0.00097744096
2.43,0.001000023,2.43,0.00098579451
2.46,0.0010083954,2.46,0.00099410154
2.49,0.0010167165,2.49,0.0010023545
2.52,0.0010249898,2.52,0.0010105614
2.55,0.0010332182,2.55,0.0010187219
2.58,0.0010414021,2.58,0.0010268363
2.61,0.0010495426,2.61,0.0010349053
2.64,0.0010576408,2.64,0.0010429289
2.67,0.0010656965,2.67,0.001050907
2.7,0.0010737116,2.7,0.0010588423
2.73,0.0010816883,2.73,0.0010667353
2.76,0.001089627,2.76,0.0010745868
2.79,0.0010975295,2.79,0.0010823981
2.82,0.0011053968,2.82,0.0010901697
2.85,0.0011132297,2.85,0.0010979023
2.88,0.0011210288,2.88,0.0011055962
2.91,0.0011287949,2.91,0.0011132516
2.94,0.0011365287,2.94,0.0011208689
2.97,0.001144231,2.97,0.0011284483
3,0.0011519026,3,0.00113599

