drain TotalCurrent(IdVg_0_n79_des) X,drain TotalCurrent(IdVg_0_n79_des) Y,drain TotalCurrent(IdVg_4.28e10_n83_des) X,drain TotalCurrent(IdVg_4.28e10_n83_des) Y
0.03,8.382709e-06,0.03,6.6361332e-06
0.06,8.5643747e-06,0.06,6.7996494e-06
0.09,8.758499e-06,0.09,6.9741933e-06
0.12,8.9712734e-06,0.12,7.1649869e-06
0.15,9.2128464e-06,0.15,7.3806147e-06
0.18,9.4996086e-06,0.18,7.6350246e-06
0.21,9.8573827e-06,0.21,7.9504034e-06
0.24,1.032536e-05,0.24,8.3609104e-06
0.27,1.0959939e-05,0.27,8.9167083e-06
0.3,1.1836579e-05,0.3,9.6867823e-06
0.33,1.3046993e-05,0.33,1.075804e-05
0.36,1.4689847e-05,0.36,1.2228301e-05
0.39,1.6856352e-05,0.39,1.4193212e-05
0.42,1.9615903e-05,0.42,1.6731139e-05
0.45,2.3007579e-05,0.45,1.9892132e-05
0.48,2.7039838e-05,0.48,2.3694819e-05
0.51,3.1696349e-05,0.51,2.8130539e-05
0.54,3.6944186e-05,0.54,3.3171136e-05
0.57,4.2741388e-05,0.57,3.8776976e-05
0.6,4.9042611e-05,0.6,4.4903318e-05
0.63,5.5802763e-05,0.63,5.1504627e-05
0.66,6.2979051e-05,0.66,5.8537102e-05
0.69,7.0531967e-05,0.69,6.5959984e-05
0.72,7.84256e-05,0.72,7.3736059e-05
0.75,8.662759e-05,0.75,8.1831718e-05
0.78,9.5108888e-05,0.78,9.0216761e-05
0.81,0.00010384343,0.81,9.8864096e-05
0.84,0.00011280782,0.84,0.00010774941
0.87,0.00012198097,0.87,0.00011685083
0.9,0.00013134381,0.9,0.00012614859
0.93,0.00014087904,0.93,0.00013562479
0.96,0.00015057085,0.96,0.00014526311
0.99,0.00016040474,0.99,0.00015504862
1.02,0.00017036735,1.02,0.00016496756
1.05,0.00018044628,1.05,0.00017500721
1.08,0.00019062998,1.08,0.00018515574
1.11,0.00020090763,1.11,0.00019540208
1.14,0.00021126904,1.14,0.00020573584
1.17,0.00022170458,1.17,0.00021614719
1.2,0.00023220508,1.2,0.00022662682
1.23,0.00024276183,1.23,0.00023716587
1.26,0.00025336647,1.26,0.00024775585
1.29,0.00026401098,1.29,0.00025838864
1.32,0.00027468766,1.32,0.00026905643
1.35,0.00028538909,1.35,0.0002797517
1.38,0.00029610815,1.38,0.00029046723
1.41,0.00030683799,1.41,0.00030119607
1.44,0.00031757203,1.44,0.00031193155
1.47,0.00032830401,1.47,0.00032266731
1.5,0.00033902794,1.5,0.00033339725
1.53,0.00034973816,1.53,0.00034411561
1.56,0.00036042931,1.56,0.00035481691
1.59,0.00037109635,1.59,0.000365496
1.62,0.00038173455,1.62,0.00037614804
1.65,0.0003923395,1.65,0.0003867685
1.68,0.0004029071,1.68,0.00039735316
1.71,0.00041343356,1.71,0.00040789812
1.74,0.00042391536,1.74,0.00041839975
1.77,0.00043434929,1.77,0.00042885472
1.8,0.0004447324,1.8,0.00043925998
1.83,0.000455062,1.83,0.00044961275
1.86,0.00046533568,1.86,0.00045991049
1.89,0.00047555121,1.89,0.00047015092
1.92,0.00048570664,1.92,0.00048033196
1.95,0.00049580019,1.95,0.00049045178
1.98,0.00050583028,1.98,0.00050050872
2.01,0.00051579552,2.01,0.0005105013
2.04,0.00052569468,2.04,0.00052042824
2.07,0.00053552668,2.07,0.00053028838
2.1,0.00054529058,2.1,0.00054008075
2.13,0.00055498556,2.13,0.00054980446
2.16,0.00056461094,2.16,0.00055945878
2.19,0.00057416613,2.19,0.00056904306
2.22,0.00058365062,2.22,0.00057855678
2.25,0.000593064,2.25,0.00058799948
2.28,0.00060240595,2.28,0.0005973708
2.31,0.0006116762,2.31,0.00060667044
2.34,0.00062087456,2.34,0.00061589817
2.37,0.00063000087,2.37,0.00062505381
2.4,0.00063905505,2.4,0.00063413727
2.43,0.00064803705,2.43,0.00064314845
2.46,0.00065694686,2.46,0.00065208735
2.49,0.00066578454,2.49,0.00066095398
2.52,0.00067455015,2.52,0.0006697484
2.55,0.00068324381,2.55,0.00067847072
2.58,0.00069186568,2.58,0.00068712106
2.61,0.00070041595,2.61,0.00069569962
2.64,0.00070889485,2.64,0.0007042066
2.67,0.00071730264,2.67,0.00071264227
2.7,0.00072563964,2.7,0.00072100692
2.73,0.00073390618,2.73,0.00072930088
2.76,0.00074210265,2.76,0.00073752453
2.79,0.00075022946,2.79,0.00074567827
2.82,0.00075828706,2.82,0.00075376254
2.85,0.00076627592,2.85,0.00076177782
2.88,0.00077419656,2.88,0.0007697246
2.91,0.00078204948,2.91,0.00077760339
2.94,0.00078983521,2.94,0.00078541472
2.97,0.0007975543,2.97,0.00079315911
3,0.00080520726,3,0.00080083709

