drain TotalCurrent(BV_0n45_des) X,drain TotalCurrent(BV_0n45_des) Y,drain TotalCurrent(BV_1.85e10n52_des) X,drain TotalCurrent(BV_1.85e10n52_des) Y
1e-05,3.3124593e-11,1e-05,2.8179898e-11
2.5e-05,8.2808907e-11,2.5e-05,7.044577e-11
4.75e-05,1.5737879e-10,4.75e-05,1.3387752e-10
8.125e-05,2.6946159e-10,8.125e-05,2.2920128e-10
0.000131875,4.385473e-10,0.000131875,3.7293793e-10
0.0002078125,6.9589158e-10,0.0002078125,5.9145718e-10
0.00032171875,1.0957504e-09,0.00032171875,9.3010486e-10
0.00049257812,1.747067e-09,0.00049257812,1.4784591e-09
0.00074886719,2.9251417e-09,0.00074886719,2.4574434e-09
0.0011333008,5.5996844e-09,0.0011333008,4.6179782e-09
0.0017099512,1.5270996e-08,0.0017099512,1.2120945e-08
0.0019261951,2.1833587e-08,0.0019261951,1.776297e-08
0.0020072865,2.4138816e-08,0.002088378,2.2368378e-08
0.0021289237,2.6976117e-08,0.0022100152,2.5177822e-08
0.0022201516,2.8710612e-08,0.0023012431,2.6879976e-08
0.0023569935,3.1013262e-08,0.0024380849,2.9076955e-08
0.0025622562,3.4248732e-08,0.0026433477,3.2076501e-08
0.0027162033,3.6651226e-08,0.0027972947,3.4278574e-08
0.0029471239,4.0284701e-08,0.0030282154,3.7604259e-08
0.0031203143,4.3034542e-08,0.0032014058,4.012098e-08
0.0033801,4.7197512e-08,0.0034611915,4.3931905e-08
0.0035749393,5.0347828e-08,0.0036560308,4.6816516e-08
0.0038671982,5.5115585e-08,0.0039482896,5.1183309e-08
0.0040863924,5.8722362e-08,0.0041674838,5.4487667e-08
0.0044151836,6.4178795e-08,0.0044962751,5.948806e-08
0.004661777,6.8304833e-08,0.0047428685,6.3270383e-08
0.0050316672,7.4543904e-08,0.0051127587,6.8991515e-08
0.0053090848,7.9259436e-08,0.0053901763,7.3316965e-08
0.0057252113,8.6386018e-08,0.0058063027,7.9856177e-08
0.0060373061,9.1769269e-08,0.0061183975,8.4797384e-08
0.0065054483,9.9899909e-08,0.0065865398,9.2262936e-08
0.006856555,1.060376e-07,0.0069376465,9.790049e-08
0.007383215,1.1530116e-07,0.0074643065,1.0641223e-07
0.00777821,1.2228892e-07,0.0078593015,1.1283501e-07
0.0083707025,1.328271e-07,0.008451794,1.2252468e-07
0.0088150719,1.4076976e-07,0.0088961634,1.2983037e-07
0.009481626,1.5273742e-07,0.0095627175,1.4084217e-07
0.0099815416,1.617492e-07,0.010062633,1.4913709e-07
0.010731415,1.7531453e-07,0.010812506,1.6162774e-07
0.011856225,1.9574474e-07,0.011937316,1.8044835e-07
0.012699832,2.1111273e-07,0.012780924,1.9461258e-07
0.013332538,2.226556e-07,0.01341363,2.0525465e-07
0.014281596,2.3998564e-07,0.014362688,2.2123747e-07
0.015705184,2.6599078e-07,0.015786276,2.4523163e-07
0.016772875,2.8548331e-07,0.016853966,2.6322448e-07
0.018374411,3.1467878e-07,0.018455503,2.9018571e-07
0.019575563,3.3652337e-07,0.019656655,3.1036488e-07
0.020476427,3.5287797e-07,0.020557519,3.2548096e-07
0.021827723,3.7734937e-07,0.021908815,3.4810173e-07
0.022841195,3.9565592e-07,0.022922287,3.6502978e-07
0.024361404,4.2304106e-07,0.024442495,3.903602e-07
0.02550156,4.4352463e-07,0.025582651,4.0931201e-07
0.027211794,4.7416784e-07,0.027292885,4.3767745e-07
0.028494469,4.9709573e-07,0.028575561,4.5890945e-07
0.029456476,5.1427076e-07,0.029537568,4.7481597e-07
0.030899486,5.4000535e-07,0.030980578,4.9865953e-07
0.031981744,5.5929499e-07,0.032062835,5.1653794e-07
0.03360513,5.8823259e-07,0.033686221,5.4336851e-07
0.03482267,6.0995391e-07,0.034903761,5.6351681e-07
0.036648979,6.4259852e-07,0.036730071,5.9381019e-07
0.038018711,6.6715797e-07,0.038099803,6.1661042e-07
0.039046011,6.8563136e-07,0.039127102,6.3377047e-07
0.040586959,7.1345301e-07,0.040668051,6.5962557e-07
0.041742671,7.344303e-07,0.041823762,6.7912307e-07
0.043476238,7.6609173e-07,0.04355733,7.0857135e-07
0.044776414,7.9001931e-07,0.044857505,7.3083826e-07
0.046726677,8.2624842e-07,0.046807768,7.6457317e-07
0.048189374,8.5371833e-07,0.048270466,7.9016844e-07
0.049286397,8.7450658e-07,0.049367489,8.0954702e-07
0.050931932,9.0601322e-07,0.051013023,8.389336e-07
0.052166083,9.2991405e-07,0.052247174,8.6123737e-07
0.054017309,9.6624088e-07,0.054098401,8.9515853e-07
0.055405729,9.93883e-07,0.055486821,9.2098617e-07
0.057488359,1.0360304e-06,0.05756945,9.6039378e-07
0.059050331,1.0682109e-06,0.059131423,9.905037e-07
0.06139329,1.1174579e-06,0.060302902,1.0134147e-06
0.063150508,1.1552018e-06,0.062060121,1.04833e-06
0.064468423,1.1839869e-06,0.063378035,1.0749665e-06
0.066445294,1.2279597e-06,0.065354906,1.1156732e-06
0.067927947,1.2615887e-06,0.066837559,1.1468163e-06
0.070151927,1.3131145e-06,0.069061539,1.1945583e-06
0.071819912,1.3526404e-06,0.070729525,1.2312013e-06
0.07432189,1.4133996e-06,0.073231502,1.2875647e-06
0.076198373,1.4601651e-06,0.075107985,1.3309761e-06
0.079013098,1.5323093e-06,0.076515348,1.3641966e-06
0.081124141,1.58804e-06,0.078626391,1.4151184e-06
0.082707424,1.6307794e-06,0.080209674,1.4541925e-06
0.085082348,1.6964392e-06,0.082584598,1.5142605e-06
0.088644734,1.7985315e-06,0.084365791,1.5604912e-06
0.091316524,1.8780302e-06,0.087037581,1.6317852e-06
0.093320366,1.9393537e-06,0.089041423,1.6868334e-06
0.096326129,2.0341344e-06,0.092047186,1.7720118e-06
0.098580452,2.1074735e-06,0.094301508,1.8380041e-06
0.10196194,2.2212019e-06,0.09599225,1.8887126e-06
0.10449805,2.3094948e-06,0.098528363,1.966771e-06
0.10830222,2.4468494e-06,0.10043045,2.0269217e-06
0.11115534,2.5538177e-06,0.10328357,2.1197688e-06
0.11543503,2.7207731e-06,0.10756326,2.265081e-06
0.1186448,2.8512213e-06,0.11077303,2.3789425e-06
0.12345945,3.0555117e-06,0.11318036,2.467148e-06
0.12707044,3.2156742e-06,0.11679135,2.6040599e-06
0.12977868,3.3397903e-06,0.11949959,2.7104407e-06
0.13384105,3.5325194e-06,0.12356195,2.8760815e-06
0.13688782,3.682334e-06,0.12660872,3.005195e-06
0.14145797,3.9157296e-06,0.13117888,3.2069033e-06
0.14831321,4.2859499e-06,0.1346065,3.3646701e-06
0.15345464,4.5800329e-06,0.13974792,3.6120392e-06
0.16116678,5.0486537e-06,0.143604,3.8062445e-06
0.17273499,5.8166049e-06,0.1493881,4.1119618e-06
0.18141115,6.4467362e-06,0.15806426,4.6042992e-06
0.19442539,7.4846894e-06,0.16457138,5.0013573e-06
0.21394674,9.264831e-06,0.16945172,5.3154571e-06
0.24322878,1.2488246e-05,0.17677223,5.8138484e-06
0.28715183,1.8774329e-05,0.18775299,6.6256727e-06
0.35303641,3.2535196e-05,0.20422413,7.9971636e-06
0.45186327,6.7917912e-05,0.22893085,1.0430354e-05
0.60010357,0.00017784536,0.26599092,1.5039146e-05
-,-,0.32158104,2.4633008e-05
-,-,0.40496621,4.7645506e-05
-,-,0.53004396,0.00011441605

