drain TotalCurrent(Id_off_0n71_des) X,drain TotalCurrent(Id_off_0n71_des) Y,drain TotalCurrent(Id_off_1.85e10n75_des) X,drain TotalCurrent(Id_off_1.85e10n75_des) Y,drain TotalCurrent(idOn_0n46_des) X,drain TotalCurrent(idOn_0n46_des) Y,drain TotalCurrent(idOn_1.85e10n58_des) X,drain TotalCurrent(idOn_1.85e10n58_des) Y
0.01,8.2071285e-06,0.01,7.3690785e-06,0.01,4.6230546e-17,0.01,-9.5775219e-18
0.02,8.2071285e-06,0.02,7.3690785e-06,0.02,9.0514924e-17,0.02,4.2780069e-17
0.03,8.2071285e-06,0.03,7.3690785e-06,0.03,7.3569937e-17,0.03,4.2535012e-17
0.04,8.2071284e-06,0.04,7.3690785e-06,0.04,7.2455957e-17,0.04,2.8725915e-17
0.05,8.2071285e-06,0.05,7.3690785e-06,0.05,4.7105718e-17,0.05,4.2780069e-17
0.06,8.2071285e-06,0.06,7.3690785e-06,0.06,7.4574799e-17,0.06,3.9865819e-17
0.07,8.2071285e-06,0.07,7.3690785e-06,0.07,7.579792e-17,0.07,3.6943272e-17
0.08,8.2071285e-06,0.08,7.3690785e-06,0.08,4.7105718e-17,0.08,4.2780069e-17
0.09,8.2071285e-06,0.09,7.3690785e-06,0.09,7.579792e-17,0.09,3.8324115e-17
0.1,8.2071285e-06,0.1,7.3690785e-06,0.1,7.6795854e-17,0.1,3.9438106e-17
0.11,8.2071285e-06,0.11,7.3690785e-06,0.11,7.579792e-17,0.11,4.0285234e-17
0.12,8.2071285e-06,0.12,7.3690785e-06,0.12,7.6492496e-17,0.12,4.2780069e-17
0.13,8.2071285e-06,0.13,7.3690785e-06,0.13,7.579792e-17,0.13,3.6943272e-17
0.14,8.2071285e-06,0.14,7.3690785e-06,0.14,4.6346468e-17,0.14,1.3392875e-17
0.15,8.2071285e-06,0.15,7.3690785e-06,0.15,7.1232825e-17,0.15,7.1366625e-18
0.16,8.2071285e-06,0.16,7.3690785e-06,0.16,4.6346264e-17,0.16,4.2780069e-17
0.17,8.2071285e-06,0.17,7.3690785e-06,0.17,7.579792e-17,0.17,3.6943272e-17
0.18,8.2071285e-06,0.18,7.3690785e-06,0.18,7.6492496e-17,0.18,3.9438106e-17
0.19,8.2071285e-06,0.19,7.3690785e-06,0.19,7.579792e-17,0.19,4.0285234e-17
0.2,8.2071284e-06,0.2,7.3690785e-06,0.2,7.6795854e-17,0.2,4.2780069e-17
0.21,8.2071284e-06,0.21,7.3690785e-06,0.21,7.579792e-17,0.21,3.6943272e-17
0.22,8.2071284e-06,0.22,7.3690785e-06,0.22,4.7105718e-17,0.22,4.2780069e-17
0.23,8.2071284e-06,0.23,7.3690785e-06,0.23,7.579792e-17,0.23,3.6943272e-17
0.24,8.2071284e-06,0.24,7.3690785e-06,0.24,7.6795854e-17,0.24,3.9438106e-17
0.25,8.2071284e-06,0.25,7.3690785e-06,0.25,7.2455945e-17,0.25,6.8135023e-17
0.26,8.2071284e-06,0.26,7.3690785e-06,0.26,7.579792e-17,0.26,4.2780069e-17
0.27,8.2071285e-06,0.27,7.3690785e-06,0.27,7.579792e-17,0.27,3.2754145e-17
0.28,8.2071284e-06,0.28,7.3690785e-06,0.28,4.6411142e-17,0.28,4.2780069e-17
0.29,8.2071284e-06,0.29,7.3690785e-06,0.29,7.579792e-17,0.29,3.6943272e-17
0.3,8.2071285e-06,0.3,7.3690785e-06,0.3,7.6492496e-17,0.3,3.9438106e-17
0.31,8.2071284e-06,0.31,7.3690785e-06,0.31,7.579792e-17,0.31,4.0285234e-17
0.32,8.2071284e-06,0.32,7.3690785e-06,0.32,7.6795854e-17,0.32,4.2780069e-17
0.33,8.2071284e-06,0.33,7.3690785e-06,0.33,7.579792e-17,0.33,3.6943272e-17
0.34,8.2071284e-06,0.34,7.3690785e-06,0.34,4.7105718e-17,0.34,4.2780069e-17
0.35,8.2071284e-06,0.35,7.3690785e-06,0.35,7.579792e-17,0.35,3.6943272e-17
0.36,8.2071284e-06,0.36,7.3690785e-06,0.36,7.6795854e-17,0.36,3.9438106e-17
0.37,8.2071285e-06,0.37,7.3690785e-06,0.37,7.579792e-17,0.37,4.0285234e-17
0.38,8.2071285e-06,0.38,7.3690785e-06,0.38,7.6492496e-17,0.38,4.2780069e-17
0.39,8.2071285e-06,0.39,7.3690785e-06,0.39,7.579792e-17,0.39,3.6943272e-17
0.4,8.2071299e-06,0.4,7.3690785e-06,0.4,4.7409076e-17,0.4,4.2780069e-17
0.41,8.2071285e-06,0.41,7.3690785e-06,0.41,7.579792e-17,0.41,3.6943272e-17
0.42,8.2071285e-06,0.42,7.3690785e-06,0.42,7.6492496e-17,0.42,3.9438106e-17
0.43,8.2071285e-06,0.43,7.3690785e-06,0.43,7.579792e-17,0.43,4.0285234e-17
0.44,8.2071285e-06,0.44,7.3690785e-06,0.44,7.6795854e-17,0.44,4.2780069e-17
0.45,8.2071285e-06,0.45,7.3690785e-06,0.45,7.579792e-17,0.45,3.6943272e-17
0.46,8.2071285e-06,0.46,7.3690785e-06,0.46,4.7105718e-17,0.46,4.2780069e-17
0.47,8.2071284e-06,0.47,7.3690785e-06,0.47,7.579792e-17,0.47,3.6943272e-17
0.48,8.2071284e-06,0.48,7.3690785e-06,0.48,7.6795854e-17,0.48,3.9438106e-17
0.49,8.2071284e-06,0.49,7.3690785e-06,0.49,7.579792e-17,0.49,4.0285234e-17
0.5,8.2071284e-06,0.5,7.3690785e-06,0.5,7.0111916e-17,0.5,3.582928e-17
0.51,8.2071284e-06,0.51,7.3690785e-06,0.51,7.579792e-17,0.51,3.8324115e-17
0.52,8.2071284e-06,0.52,7.3690785e-06,0.52,7.3569937e-17,0.52,4.2535012e-17
0.53,8.2071284e-06,0.53,7.3690785e-06,0.53,7.579792e-17,0.53,4.0285234e-17
0.54,8.2071284e-06,0.54,7.3690785e-06,0.54,4.7105718e-17,0.54,4.2780069e-17
0.55,8.2071284e-06,0.55,7.3690785e-06,0.55,7.579792e-17,0.55,3.6943272e-17
0.56,8.2071284e-06,0.56,7.3690785e-06,0.56,7.6795854e-17,0.56,4.2780069e-17
0.57,8.2071284e-06,0.57,7.3690785e-06,0.57,7.579792e-17,0.57,3.6943272e-17
0.58,8.2071284e-06,0.58,7.3690785e-06,0.58,7.6492496e-17,0.58,3.9438106e-17
0.59,8.2071284e-06,0.59,7.3690785e-06,0.59,7.579792e-17,0.59,4.0285234e-17
0.6,8.2071284e-06,0.6,7.3690785e-06,0.6,4.7409076e-17,0.6,4.2780069e-17
0.61,8.2071284e-06,0.61,7.3690785e-06,0.61,7.579792e-17,0.61,3.6943272e-17
0.62,8.2071284e-06,0.62,7.3690785e-06,0.62,7.6492496e-17,0.62,4.2780069e-17
0.63,8.2071284e-06,0.63,7.3690785e-06,0.63,7.579792e-17,0.63,3.6943272e-17
0.64,8.2071284e-06,0.64,7.3690785e-06,0.64,7.6795854e-17,0.64,3.9438106e-17
0.65,8.2071285e-06,0.65,7.3690785e-06,0.65,7.579792e-17,0.65,4.0285234e-17
0.66,8.2071285e-06,0.66,7.3690785e-06,0.66,4.7105718e-17,0.66,4.2780069e-17
0.67,8.2071285e-06,0.67,7.3690785e-06,0.67,7.579792e-17,0.67,3.6943272e-17
0.68,8.2071285e-06,0.68,7.3690785e-06,0.68,7.6795854e-17,0.68,4.2780069e-17
0.69,8.2071285e-06,0.69,7.3690785e-06,0.69,7.579792e-17,0.69,3.6943272e-17
0.7,8.2071285e-06,0.7,7.3690785e-06,0.7,7.6492496e-17,0.7,3.9438106e-17
0.71,8.2071284e-06,0.71,7.3690785e-06,0.71,7.579792e-17,0.71,4.0285234e-17
0.72,8.2071285e-06,0.72,7.3690785e-06,0.72,4.7409076e-17,0.72,4.2780069e-17
0.73,8.2071284e-06,0.73,7.3690785e-06,0.73,7.579792e-17,0.73,3.6943272e-17
0.74,8.2071281e-06,0.74,7.3690785e-06,0.74,7.6492496e-17,0.74,4.2780069e-17
0.75,8.2071285e-06,0.75,7.3690785e-06,0.75,7.579792e-17,0.75,3.6943272e-17
0.76,8.2071285e-06,0.76,7.3690785e-06,0.76,7.6795854e-17,0.76,3.9438106e-17
0.77,8.2071285e-06,0.77,7.3690785e-06,0.77,7.579792e-17,0.77,4.0285234e-17
0.78,8.2071285e-06,0.78,7.3690785e-06,0.78,4.7105718e-17,0.78,4.2780069e-17
0.79,8.2071285e-06,0.79,7.3690785e-06,0.79,7.579792e-17,0.79,3.6943272e-17
0.8,8.2071285e-06,0.8,7.3690785e-06,0.8,7.6795854e-17,0.8,4.2780069e-17
0.81,8.2071285e-06,0.81,7.3690785e-06,0.81,7.579792e-17,0.81,3.6943272e-17
0.82,8.2071285e-06,0.82,7.3690785e-06,0.82,7.6492496e-17,0.82,3.9438106e-17
0.83,8.2071285e-06,0.83,7.3690785e-06,0.83,7.579792e-17,0.83,4.0285234e-17
0.84,8.2071285e-06,0.84,7.3690785e-06,0.84,4.7409076e-17,0.84,4.2780069e-17
0.85,8.2071285e-06,0.85,7.3690785e-06,0.85,7.579792e-17,0.85,3.6943272e-17
0.86,8.2071285e-06,0.86,7.3690785e-06,0.86,7.6492496e-17,0.86,4.2780069e-17
0.87,8.2071285e-06,0.87,7.3690785e-06,0.87,7.579792e-17,0.87,3.6943272e-17
0.88,8.2071284e-06,0.88,7.3690785e-06,0.88,7.6795854e-17,0.88,3.9438106e-17
0.89,8.2071284e-06,0.89,7.3690785e-06,0.89,7.579792e-17,0.89,4.0285234e-17
0.9,8.2071284e-06,0.9,7.3690785e-06,0.9,4.7105718e-17,0.9,4.2780069e-17
0.91,8.2071284e-06,0.91,7.3690785e-06,0.91,7.579792e-17,0.91,3.6943272e-17
0.92,8.2071284e-06,0.92,7.3690785e-06,0.92,7.6795854e-17,0.92,4.2780069e-17
0.93,8.2071284e-06,0.93,7.3690785e-06,0.93,7.579792e-17,0.93,3.6943272e-17
0.94,8.2071284e-06,0.94,7.3690785e-06,0.94,7.6492496e-17,0.94,3.9438106e-17
0.95,8.2071284e-06,0.95,7.3690785e-06,0.95,7.579792e-17,0.95,4.0285234e-17
0.96,8.2071284e-06,0.96,7.3690785e-06,0.96,4.7409076e-17,0.96,4.2780069e-17
0.97,8.2071284e-06,0.97,7.3690785e-06,0.97,7.579792e-17,0.97,3.6943272e-17
0.98,8.2071284e-06,0.98,7.3690785e-06,0.98,7.6492496e-17,0.98,4.2780069e-17
0.99,8.2071284e-06,0.99,7.3690785e-06,0.99,7.579792e-17,0.99,3.6943272e-17
1,8.2071284e-06,1,7.3690785e-06,1,7.579792e-17,1,3.9438106e-17

