drain TotalCurrent(IdVd_0_0.3_n18_des) X,drain TotalCurrent(IdVd_0_0.3_n18_des) Y,drain TotalCurrent(IdVd_0_0.6_n20_des) X,drain TotalCurrent(IdVd_0_0.6_n20_des) Y,drain TotalCurrent(IdVd_0_0.9_n30_des) X,drain TotalCurrent(IdVd_0_0.9_n30_des) Y,drain TotalCurrent(IdVd_0_1.5_n40_des) X,drain TotalCurrent(IdVd_0_1.5_n40_des) Y,drain TotalCurrent(IdVd_1.85e10_0.3_n55_des) X,drain TotalCurrent(IdVd_1.85e10_0.3_n55_des) Y,drain TotalCurrent(IdVd_1.85e10_0.6_n59_des) X,drain TotalCurrent(IdVd_1.85e10_0.6_n59_des) Y,drain TotalCurrent(IdVd_1.85e10_0.9_n63_des) X,drain TotalCurrent(IdVd_1.85e10_0.9_n63_des) Y,drain TotalCurrent(IdVd_1.85e10_1.5_n67_des) X,drain TotalCurrent(IdVd_1.85e10_1.5_n67_des) Y
0.03,1.8654418e-07,0.03,5.6946001e-06,0.03,2.0829297e-05,0.03,4.4920193e-05,0.03,1.664429e-07,0.03,5.4792886e-06,0.03,2.05911e-05,0.03,4.4758129e-05
0.06,3.1233642e-07,0.06,9.4201311e-06,0.06,3.7646755e-05,0.06,8.5191232e-05,0.06,2.7776083e-07,0.06,9.0457929e-06,0.06,3.7186253e-05,0.06,8.4870026e-05
0.09,4.7056891e-07,0.09,1.2183775e-05,0.09,5.1039067e-05,0.09,0.00012097591,0.09,4.1718497e-07,0.09,1.1691522e-05,0.09,5.0371729e-05,0.09,0.00012049258
0.12,7.0127862e-07,0.12,1.4666864e-05,0.12,6.1731394e-05,0.12,0.00015258889,0.12,6.205471e-07,0.12,1.4076773e-05,0.12,6.0875717e-05,0.12,0.00015193864
0.15,1.0352113e-06,0.15,1.7183011e-05,0.15,7.0473897e-05,0.15,0.00018040916,0.15,9.1562912e-07,0.15,1.649799e-05,0.15,6.9449547e-05,0.15,0.00017958613
0.18,1.5082065e-06,0.18,1.9853532e-05,0.18,7.794977e-05,0.18,0.00020485311,0.18,1.3354314e-06,0.18,1.9067045e-05,0.18,7.6773056e-05,0.18,0.0002038505
0.21,2.162175e-06,0.21,2.2739984e-05,0.21,8.4699795e-05,0.21,0.00022635539,0.21,1.9195339e-06,0.21,2.1841015e-05,0.21,8.3380021e-05,0.21,0.00022516604
0.24,3.0420263e-06,0.24,2.5888507e-05,0.24,9.1102672e-05,0.24,0.00024535404,0.24,2.7116762e-06,0.24,2.4864408e-05,0.24,8.9641921e-05,0.24,0.00024397161
0.27,4.191528e-06,0.27,2.9339679e-05,0.27,9.7403723e-05,0.27,0.00026227671,0.27,3.7561251e-06,0.27,2.8178326e-05,0.27,9.5799494e-05,0.27,0.00026069713
0.3,5.6489324e-06,0.3,3.3125263e-05,0.3,0.00010375602,0.3,0.00027752705,0.3,5.0933992e-06,0.3,3.1816843e-05,0.3,0.00010200456,0.3,0.00027574974
0.33,7.4434685e-06,0.33,3.7265177e-05,0.33,0.00011025235,0.33,0.00029147216,0.33,6.7563719e-06,0.33,3.5803421e-05,0.33,0.00010835121,0.33,0.00028950066
0.36,9.5934415e-06,0.36,4.1767938e-05,0.36,0.00011694631,0.36,0.00030443251,0.36,8.7676477e-06,0.36,4.0150564e-05,0.36,0.00011489567,0.36,0.00030227421
0.39,1.2106233e-05,0.39,4.6631781e-05,0.39,0.00012386623,0.39,0.0003166754,0.39,1.1138773e-05,0.39,4.4860162e-05,0.39,0.00012166902,0.39,0.00031434064
0.42,1.4979886e-05,0.42,5.1846148e-05,0.42,0.00013102378,0.42,0.00032841328,0.42,1.3871194e-05,0.42,4.9924494e-05,0.42,0.00012868521,0.42,0.00032591403
0.45,1.8205384e-05,0.45,5.7393232e-05,0.45,0.00013841889,0.45,0.00033980698,0.45,1.6958238e-05,0.45,5.5327565e-05,0.45,0.0001359455,0.45,0.00033715557
0.48,2.176908e-05,0.48,6.3250608e-05,0.48,0.00014604268,0.48,0.00035097326,0.48,2.0387581e-05,0.48,6.1047796e-05,0.48,0.0001434415,0.48,0.00034818143
0.51,2.5654665e-05,0.51,6.9394219e-05,0.51,0.00015388049,0.51,0.00036199481,0.51,2.4143422e-05,0.51,6.706121e-05,0.51,0.00015115839,0.51,0.0003590732
0.54,2.9844789e-05,0.54,7.5800299e-05,0.54,0.00016191481,0.54,0.00037292983,0.54,2.8208337e-05,0.54,7.3343624e-05,0.54,0.00015907804,0.54,0.00036988764
0.57,3.4322114e-05,0.57,8.2446707e-05,0.57,0.00017012728,0.57,0.00038381856,0.57,3.2564586e-05,0.57,7.987225e-05,0.57,0.00016718134,0.57,0.00038066354
0.6,3.9069918e-05,0.6,8.9313465e-05,0.6,0.00017849989,0.6,0.00039468776,0.6,3.7194955e-05,0.6,8.6626394e-05,0.6,0.00017544951,0.6,0.00039142629
0.63,4.4072365e-05,0.63,9.6382881e-05,0.63,0.00018701564,0.63,0.00040555415,0.63,4.2083133e-05,0.63,9.3587686e-05,0.63,0.00018386483,0.63,0.00040219146
0.66,4.9314514e-05,0.66,0.00010363908,0.66,0.00019565892,0.66,0.00041642713,0.66,4.7213782e-05,0.66,0.00010073972,0.66,0.00019241117,0.66,0.00041296752
0.69,5.4782119e-05,0.69,0.00011106907,0.69,0.0002044156,0.69,0.00042731105,0.69,5.2572369e-05,0.69,0.00010806901,0.69,0.00020107399,0.69,0.00042375817
0.72,6.0461554e-05,0.72,0.00011866001,0.72,0.00021327378,0.72,0.00043820641,0.72,5.8145035e-05,0.72,0.00011556232,0.72,0.00020984109,0.72,0.00043456337
0.75,6.6339645e-05,0.75,0.0001264,0.75,0.00022222374,0.75,0.0004491111,0.75,6.3918457e-05,0.75,0.00012320744,0.75,0.00021870251,0.75,0.00044538064
0.78,7.240371e-05,0.78,0.00013427789,0.78,0.00023125789,0.78,0.00046002161,0.78,6.9879796e-05,0.78,0.00013099294,0.78,0.00022765045,0.78,0.00045620612
0.81,7.8641621e-05,0.81,0.00014228258,0.81,0.00024037022,0.81,0.0004709335,0.81,7.6016864e-05,0.81,0.00013890751,0.81,0.0002366787,0.81,0.00046703511
0.84,8.5041651e-05,0.84,0.00015040308,0.84,0.00024955527,0.84,0.0004818416,0.84,8.2317806e-05,0.84,0.00014693994,0.84,0.00024578162,0.84,0.00047786226
0.87,9.1592359e-05,0.87,0.00015862889,0.87,0.00025880764,0.87,0.00049274065,0.87,8.8771169e-05,0.87,0.00015507963,0.87,0.00025495367,0.87,0.00048868215
0.9,9.8282781e-05,0.9,0.00016694921,0.9,0.00026812096,0.9,0.0005036257,0.9,9.536592e-05,0.9,0.00016331562,0.9,0.00026418832,0.9,0.00049948971
0.93,0.00010510218,0.93,0.0001753538,0.93,0.00027748773,0.93,0.00051449255,0.93,0.00010209135,0.93,0.00017163759,0.93,0.00027347804,0.93,0.00051028071
0.96,0.00011204016,0.96,0.00018383262,0.96,0.00028689878,0.96,0.00052533812,0.96,0.00010893711,0.96,0.00018003556,0.96,0.00028281368,0.96,0.00052105207
0.99,0.00011908672,0.99,0.00019237514,0.99,0.00029635033,0.99,0.00053616051,0.99,0.0001158933,0.99,0.00018849907,0.99,0.00029219143,0.99,0.00053180196
1.02,0.00012623229,1.02,0.00020097335,1.02,0.00030583413,1.02,0.00054695869,1.02,0.00012295052,1.02,0.00019702021,1.02,0.00030160316,1.02,0.00054252949
1.05,0.00013346759,1.05,0.00020961847,1.05,0.00031534261,1.05,0.0005577321,1.05,0.00013009958,1.05,0.00020559036,1.05,0.00031104151,1.05,0.00055323428
1.08,0.0001407841,1.08,0.00021830256,1.08,0.00032486818,1.08,0.00056848011,1.08,0.00013733231,1.08,0.00021420177,1.08,0.00032049901,1.08,0.00056391586
1.11,0.00014817384,1.11,0.00022701626,1.11,0.00033440335,1.11,0.00057920161,1.11,0.00014464094,1.11,0.00022284492,1.11,0.00032996843,1.11,0.00057457336
1.14,0.00015562957,1.14,0.00023575356,1.14,0.00034394011,1.14,0.00058989335,1.14,0.00015201836,1.14,0.00023151464,1.14,0.0003394419,1.14,0.00058520379
1.17,0.0001631447,1.17,0.00024450859,1.17,0.00035347219,1.17,0.00060055398,1.17,0.00015945818,1.17,0.00024020486,1.17,0.00034891334,1.17,0.00059580568
