drain OuterVoltage,drain TotalCurrent
1e-05,3.3124604e-11
2.5e-05,8.2808904e-11
4.75e-05,1.573788e-10
8.125e-05,2.6946157e-10
0.000131875,4.385473e-10
0.0002078125,6.9589159e-10
0.00032171875,1.0957504e-09
0.00049257812,1.7470671e-09
0.00074886719,2.9251418e-09
0.0011333008,5.5996847e-09
0.0017099512,1.5270997e-08
0.0019261951,2.1833587e-08
0.0020072865,2.4138816e-08
0.0021289237,2.6976117e-08
0.0022201516,2.8710612e-08
0.0023569935,3.1013262e-08
0.0025622562,3.4248732e-08
0.0027162033,3.6651226e-08
0.0029471239,4.0284701e-08
0.0031203143,4.3034542e-08
0.0033801,4.7197512e-08
0.0035749393,5.0347828e-08
0.0038671982,5.5115585e-08
0.0040863924,5.8722362e-08
0.0044151836,6.4178795e-08
0.004661777,6.8304833e-08
0.0050316672,7.4543904e-08
0.0053090848,7.9259436e-08
0.0057252113,8.6386018e-08
0.0060373061,9.1769269e-08
0.0065054483,9.9899909e-08
0.006856555,1.060376e-07
0.007383215,1.1530116e-07
0.00777821,1.2228892e-07
0.0083707025,1.328271e-07
0.0088150719,1.4076976e-07
0.009481626,1.5273742e-07
0.0099815416,1.617492e-07
0.010731415,1.7531453e-07
0.011856225,1.9574474e-07
0.012699832,2.1111273e-07
0.013332538,2.226556e-07
0.014281596,2.3998564e-07
0.015705184,2.6599078e-07
0.016772875,2.8548331e-07
0.018374411,3.1467878e-07
0.019575563,3.3652337e-07
0.020476427,3.5287797e-07
0.021827723,3.7734937e-07
0.022841195,3.9565592e-07
0.024361404,4.2304106e-07
0.02550156,4.4352463e-07
0.027211794,4.7416784e-07
0.028494469,4.9709573e-07
0.029456476,5.1427076e-07
0.030899486,5.4000535e-07
0.031981744,5.5929499e-07
0.03360513,5.8823259e-07
0.03482267,6.0995391e-07
0.036648979,6.4259852e-07
0.038018711,6.6715797e-07
0.039046011,6.8563136e-07
0.040586959,7.1345301e-07
0.041742671,7.344303e-07
0.043476238,7.6609173e-07
0.044776414,7.9001931e-07
0.046726677,8.2624842e-07
0.048189374,8.5371833e-07
0.049286397,8.7450658e-07
0.050931932,9.0601322e-07
0.052166083,9.2991405e-07
0.054017309,9.6624088e-07
0.055405729,9.93883e-07
0.057488359,1.0360304e-06
0.059050331,1.0682109e-06
0.06139329,1.1174579e-06
0.063150508,1.1552018e-06
0.064468423,1.1839869e-06
0.066445294,1.2279597e-06
0.067927947,1.2615887e-06
0.070151927,1.3131145e-06
0.071819912,1.3526404e-06
0.07432189,1.4133996e-06
0.076198373,1.4601651e-06
0.079013098,1.5323093e-06
0.081124141,1.58804e-06
0.082707424,1.6307794e-06
0.085082348,1.6964392e-06
0.088644734,1.7985315e-06
0.091316524,1.8780302e-06
0.093320366,1.9393537e-06
0.096326129,2.0341344e-06
0.098580452,2.1074735e-06
0.10196194,2.2212019e-06
0.10449805,2.3094948e-06
0.10830222,2.4468494e-06
0.11115534,2.5538177e-06
0.11543503,2.7207731e-06
0.1186448,2.8512213e-06
0.12345945,3.0555117e-06
0.12707044,3.2156742e-06
0.12977868,3.3397903e-06
0.13384105,3.5325194e-06
0.13688782,3.682334e-06
0.14145797,3.9157296e-06
0.14831321,4.2859499e-06
0.15345464,4.5800329e-06
0.16116678,5.0486537e-06
0.17273499,5.8166049e-06
0.18141115,6.4467362e-06
0.19442539,7.4846894e-06
0.21394674,9.264831e-06
0.24322878,1.2488246e-05
0.28715183,1.8774329e-05
0.35303641,3.2535196e-05
0.45186327,6.7917912e-05
0.60010357,0.00017784536

