drain OuterVoltage(Id_off_0.005n71_des) X,drain OuterVoltage(Id_off_0.005n71_des) Y,drain OuterVoltage(Id_off_0.00538n75_des) X,drain OuterVoltage(Id_off_0.00538n75_des) Y
0.01,0.4,0.01,0.4
0.02,0.4,0.02,0.4
0.03,0.4,0.03,0.4
0.04,0.4,0.04,0.4
0.05,0.4,0.05,0.4
0.06,0.4,0.06,0.4
0.07,0.4,0.07,0.4
0.08,0.4,0.08,0.4
0.09,0.4,0.09,0.4
0.1,0.4,0.0925,0.4
0.11,0.4,0.09625,0.4
0.12,0.4,0.101875,0.4
0.13,0.4,0.1103125,0.4
0.14,0.4,0.1203125,0.4
0.15,0.4,0.1303125,0.4
0.16,0.4,0.1403125,0.4
0.17,0.4,0.1503125,0.4
0.18,0.4,0.1603125,0.4
0.19,0.4,0.1703125,0.4
0.2,0.4,0.1803125,0.4
0.21,0.4,0.1903125,0.4
0.22,0.4,0.2003125,0.4
0.23,0.4,0.2103125,0.4
0.24,0.4,0.2203125,0.4
0.25,0.4,0.2303125,0.4
0.26,0.4,0.2403125,0.4
0.27,0.4,0.2503125,0.4
0.28,0.4,0.2603125,0.4
0.29,0.4,0.2703125,0.4
0.3,0.4,0.2803125,0.4
0.31,0.4,0.2903125,0.4
0.32,0.4,0.3003125,0.4
0.33,0.4,0.3103125,0.4
0.34,0.4,0.3203125,0.4
0.35,0.4,0.3303125,0.4
0.355,0.4,0.3403125,0.4
0.3625,0.4,0.3503125,0.4
0.3725,0.4,0.3603125,0.4
0.3825,0.4,0.3703125,0.4
0.3925,0.4,0.3803125,0.4
0.4025,0.4,0.3903125,0.4
0.4125,0.4,0.4003125,0.4
0.4225,0.4,0.4103125,0.4
0.4325,0.4,0.4203125,0.4
0.4425,0.4,0.4303125,0.4
0.4525,0.4,0.4403125,0.4
0.4625,0.4,0.4503125,0.4
0.4725,0.4,0.4603125,0.4
0.4775,0.4,0.4703125,0.4
0.485,0.4,0.4803125,0.4
0.495,0.4,0.4903125,0.4
0.505,0.4,0.5003125,0.4
0.515,0.4,0.5103125,0.4
0.525,0.4,0.5203125,0.4
0.535,0.4,0.5303125,0.4
0.545,0.4,0.5403125,0.4
0.555,0.4,0.5503125,0.4
0.565,0.4,0.5603125,0.4
0.575,0.4,0.5703125,0.4
0.585,0.4,0.5803125,0.4
0.595,0.4,0.5903125,0.4
0.605,0.4,0.6003125,0.4
0.615,0.4,0.6103125,0.4
0.625,0.4,0.6203125,0.4
0.635,0.4,0.6303125,0.4
0.645,0.4,0.6403125,0.4
0.655,0.4,0.6503125,0.4
0.665,0.4,0.6603125,0.4
0.675,0.4,0.6703125,0.4
0.685,0.4,0.6803125,0.4
0.695,0.4,0.6903125,0.4
0.705,0.4,0.7003125,0.4
0.715,0.4,0.7103125,0.4
0.725,0.4,0.7203125,0.4
0.735,0.4,0.7303125,0.4
0.745,0.4,0.7403125,0.4
0.755,0.4,0.7503125,0.4
0.765,0.4,0.7603125,0.4
0.775,0.4,0.7703125,0.4
0.785,0.4,0.7803125,0.4
0.795,0.4,0.7903125,0.4
0.805,0.4,0.8003125,0.4
0.815,0.4,0.8103125,0.4
0.825,0.4,0.8203125,0.4
0.835,0.4,0.8303125,0.4
0.845,0.4,0.8403125,0.4
0.855,0.4,0.8503125,0.4
0.865,0.4,0.8603125,0.4
0.875,0.4,0.8703125,0.4
0.885,0.4,0.8803125,0.4
0.895,0.4,0.8903125,0.4
0.905,0.4,0.9003125,0.4
0.915,0.4,0.9103125,0.4
0.925,0.4,0.9203125,0.4
0.935,0.4,0.9303125,0.4
0.945,0.4,0.9403125,0.4
0.955,0.4,0.9503125,0.4
0.965,0.4,0.9603125,0.4
0.975,0.4,0.9703125,0.4
0.985,0.4,0.9803125,0.4
0.995,0.4,0.9903125,0.4
1,0.4,1,0.4

