drain TotalCurrent(idOn_0.005n46_des) X,drain TotalCurrent(idOn_0.005n46_des) Y,drain TotalCurrent(idOn_0.00538n58_des) X,drain TotalCurrent(idOn_0.00538n58_des) Y
0.01,7.099011e-17,0.01,-1.4365247e-17
0.02,7.4760144e-17,0.02,-1.5630044e-17
0.03,5.931171e-17,0.03,1.3333736e-17
0.04,5.7395754e-17,0.04,-1.5754399e-17
0.05,3.2045514e-17,0.05,-1.2412436e-17
0.06,5.9514596e-17,0.06,-1.1023284e-17
0.07,6.0737716e-17,0.07,-1.2412436e-17
0.08,3.1350938e-17,0.08,1.4323361e-17
0.09,6.0737716e-17,0.09,-1.1023284e-17
0.1,7.8102119e-17,0.1,-1.1023284e-17
0.11,6.0737716e-17,0.11,1.4323361e-17
0.12,6.173565e-17,0.12,-1.2412436e-17
0.13,6.0737716e-17,0.13,-1.2412436e-17
0.14,3.1286264e-17,0.14,-1.3402061e-17
0.15,5.6172621e-17,0.15,-1.2137276e-17
0.16,3.128606e-17,0.16,-1.3402061e-17
0.17,6.0737716e-17,0.17,-1.2412436e-17
0.18,6.1432292e-17,0.18,1.5712513e-17
0.19,6.0737716e-17,0.19,-1.2412436e-17
0.2,6.173565e-17,0.2,-1.2412436e-17
0.21,6.0737716e-17,0.21,1.4323361e-17
0.22,3.2045514e-17,0.22,-1.2412436e-17
0.23,6.0737716e-17,0.23,-1.2412436e-17
0.24,6.173565e-17,0.24,1.4323361e-17
0.25,5.7395742e-17,0.25,-1.3526428e-17
0.26,7.8102119e-17,0.26,-1.1023284e-17
0.27,6.0737716e-17,0.27,1.5712513e-17
0.28,3.1350938e-17,0.28,-1.1023284e-17
0.29,6.0737716e-17,0.29,-1.2412436e-17
0.3,6.0737716e-17,0.3,1.4323361e-17
0.31,6.0737716e-17,0.31,-1.2412436e-17
0.32,6.1432292e-17,0.32,-1.2412436e-17
0.33,6.0737716e-17,0.33,1.4323361e-17
0.34,3.2348872e-17,0.34,-1.2412436e-17
0.35,6.0737716e-17,0.35,-1.2412436e-17
0.36,6.1432292e-17,0.36,1.4323361e-17
0.37,6.0737716e-17,0.37,-1.2412436e-17
0.38,6.173565e-17,0.38,-1.2412436e-17
0.39,6.0737716e-17,0.39,1.4323361e-17
0.4,3.2045514e-17,0.4,-1.2412436e-17
0.41,6.0737716e-17,0.41,-1.2412436e-17
0.42,6.173565e-17,0.42,1.4323361e-17
0.43,6.0737716e-17,0.43,-1.2412436e-17
0.44,6.1432292e-17,0.44,-1.2412436e-17
0.45,6.0737716e-17,0.45,1.4323361e-17
0.46,3.2348872e-17,0.46,-1.2412436e-17
0.47,6.0737716e-17,0.47,-1.2412436e-17
0.48,6.1432292e-17,0.48,1.4323361e-17
0.49,6.0737716e-17,0.49,-1.2412436e-17
0.5,5.5051713e-17,0.5,-2.0361159e-17
0.51,6.0737716e-17,0.51,-1.4516052e-17
0.52,5.931171e-17,0.52,1.3333736e-17
0.53,6.0737716e-17,0.53,-1.2412436e-17
0.54,3.2045514e-17,0.54,-1.1023284e-17
0.55,6.0737716e-17,0.55,1.4323361e-17
0.56,6.173565e-17,0.56,-1.2412436e-17
0.57,6.0737716e-17,0.57,-1.2412436e-17
0.58,6.1432292e-17,0.58,1.4323361e-17
0.59,6.0737716e-17,0.59,-1.2412436e-17
0.6,3.2348872e-17,0.6,-1.2412436e-17
0.61,6.0737716e-17,0.61,1.4323361e-17
0.62,6.1432292e-17,0.62,-1.2412436e-17
0.63,6.0737716e-17,0.63,-1.2412436e-17
0.64,6.173565e-17,0.64,1.4323361e-17
0.65,6.0737716e-17,0.65,-1.2412436e-17
0.66,3.2045514e-17,0.66,-1.2412436e-17
0.67,6.0737716e-17,0.67,1.4323361e-17
0.68,6.173565e-17,0.68,-1.2412436e-17
0.69,6.0737716e-17,0.69,-1.2412436e-17
0.7,6.1432292e-17,0.7,1.4323361e-17
0.71,6.0737716e-17,0.71,-1.2412436e-17
0.72,3.2348872e-17,0.72,-1.2412436e-17
0.73,6.0737716e-17,0.73,1.4323361e-17
0.74,6.1432292e-17,0.74,-1.2412436e-17
0.75,6.0737716e-17,0.75,-1.2412436e-17
0.76,6.173565e-17,0.76,1.4323361e-17
0.77,6.0737716e-17,0.77,-1.2412436e-17
0.78,3.2045514e-17,0.78,-1.2412436e-17
0.79,6.0737716e-17,0.79,1.4323361e-17
0.8,6.173565e-17,0.8,-1.2412436e-17
0.81,6.0737716e-17,0.81,-1.2412436e-17
0.82,6.1432292e-17,0.82,1.4323361e-17
0.83,6.0737716e-17,0.83,-1.2412436e-17
0.84,3.2348872e-17,0.84,-1.2412436e-17
0.85,6.0737716e-17,0.85,1.4323361e-17
0.86,6.1432292e-17,0.86,-1.2412436e-17
0.87,6.0737716e-17,0.87,-1.2412436e-17
0.88,6.173565e-17,0.88,1.4323361e-17
0.89,6.0737716e-17,0.89,-1.2412436e-17
0.9,3.2045514e-17,0.9,-1.2412436e-17
0.91,6.0737716e-17,0.91,1.4323361e-17
0.92,6.173565e-17,0.92,-1.2412436e-17
0.93,6.0737716e-17,0.93,-1.2412436e-17
0.94,6.1432292e-17,0.94,1.4323361e-17
0.95,6.0737716e-17,0.95,-1.2412436e-17
0.96,3.2348872e-17,0.96,-1.2412436e-17
0.97,6.0737716e-17,0.97,1.4323361e-17
0.98,6.1432292e-17,0.98,-1.2412436e-17
0.99,6.0737716e-17,0.99,-1.2412436e-17
1,6.0737716e-17,1,1.4323361e-17

