drain TotalCurrent(IdVd_0.005_0.3_n18_des) X,drain TotalCurrent(IdVd_0.005_0.3_n18_des) Y,drain TotalCurrent(IdVd_0.005_0.6_n20_des) X,drain TotalCurrent(IdVd_0.005_0.6_n20_des) Y,drain TotalCurrent(IdVd_0.005_0.9_n30_des) X,drain TotalCurrent(IdVd_0.005_0.9_n30_des) Y,drain TotalCurrent(IdVd_0.005_1.5_n40_des) X,drain TotalCurrent(IdVd_0.005_1.5_n40_des) Y,drain TotalCurrent(IdVd_0.00538_0.3_n55_des) X,drain TotalCurrent(IdVd_0.00538_0.3_n55_des) Y,drain TotalCurrent(IdVd_0.00538_0.6_n59_des) X,drain TotalCurrent(IdVd_0.00538_0.6_n59_des) Y,drain TotalCurrent(IdVd_0.00538_0.9_n63_des) X,drain TotalCurrent(IdVd_0.00538_0.9_n63_des) Y,drain TotalCurrent(IdVd_0.00538_1.5_n67_des) X,drain TotalCurrent(IdVd_0.00538_1.5_n67_des) Y
0.03,1.8654418e-07,0.03,5.6946001e-06,0.03,2.0829297e-05,0.03,4.4920193e-05,0.03,1.4047279e-07,0.03,3.7458806e-06,0.03,1.75136e-05,0.03,4.1345534e-05
0.06,3.1233642e-07,0.06,9.4201311e-06,0.06,3.7646755e-05,0.06,8.5191232e-05,0.06,2.4106467e-07,0.06,6.1324455e-06,0.06,3.1335141e-05,0.06,7.8119025e-05
0.09,4.7056891e-07,0.09,1.2183775e-05,0.09,5.1039067e-05,0.09,0.00012097591,0.09,3.757592e-07,0.09,8.0084567e-06,0.09,4.2139707e-05,0.09,0.00011052146
0.12,7.0127862e-07,0.12,1.4666864e-05,0.12,6.1731394e-05,0.12,0.00015258889,0.12,5.7789233e-07,0.12,9.8497385e-06,0.12,5.0715605e-05,0.12,0.00013890459
0.15,1.0352113e-06,0.15,1.7183011e-05,0.15,7.0473897e-05,0.15,0.00018040916,0.15,8.7649251e-07,0.15,1.1836404e-05,0.15,5.7824057e-05,0.15,0.0001636826
0.18,1.5082065e-06,0.18,1.9853532e-05,0.18,7.794977e-05,0.18,0.00020485311,0.18,1.3065311e-06,0.18,1.4034856e-05,0.18,6.4088973e-05,0.18,0.00018530376
0.21,2.162175e-06,0.21,2.2739984e-05,0.21,8.4699795e-05,0.21,0.00022635539,0.21,1.9090849e-06,0.21,1.6487871e-05,0.21,6.9946868e-05,0.21,0.00020422998
0.24,3.0420263e-06,0.24,2.5888507e-05,0.24,9.1102672e-05,0.24,0.00024535404,0.24,2.7284513e-06,0.24,1.9234261e-05,0.24,7.5673749e-05,0.24,0.00022092018
0.27,4.191528e-06,0.27,2.9339679e-05,0.27,9.7403723e-05,0.27,0.00026227671,0.27,3.8081238e-06,0.27,2.2310349e-05,0.27,8.1439239e-05,0.27,0.00023581433
0.3,5.6489324e-06,0.3,3.3125263e-05,0.3,0.00010375602,0.3,0.00027752705,0.3,5.1864558e-06,0.3,2.5745108e-05,0.3,8.7348551e-05,0.3,0.0002493175
0.33,7.4434685e-06,0.33,3.7265177e-05,0.33,0.00011025235,0.33,0.00029147216,0.33,6.8931331e-06,0.33,2.9556549e-05,0.33,9.3465994e-05,0.33,0.00026178599
0.36,9.5934415e-06,0.36,4.1767938e-05,0.36,0.00011694631,0.36,0.00030443251,0.36,8.9471929e-06,0.36,3.375157e-05,0.36,9.9828222e-05,0.36,0.00027351781
0.39,1.2106233e-05,0.39,4.6631781e-05,0.39,0.00012386623,0.39,0.0003166754,0.39,1.1356911e-05,0.39,3.8326927e-05,0.39,0.00010645296,0.39,0.00028474904
0.42,1.4979886e-05,0.42,5.1846148e-05,0.42,0.00013102378,0.42,0.00032841328,0.42,1.412127e-05,0.42,4.3270923e-05,0.42,0.00011334478,0.42,0.00029565655
0.45,1.8205384e-05,0.45,5.7393232e-05,0.45,0.00013841889,0.45,0.00033980698,0.45,1.7232244e-05,0.45,4.8565062e-05,0.45,0.00012049851,0.45,0.00030636627
0.48,2.176908e-05,0.48,6.3250608e-05,0.48,0.00014604268,0.48,0.00035097326,0.48,2.0677195e-05,0.48,5.4186401e-05,0.48,0.00012790156,0.48,0.00031696463
0.51,2.5654665e-05,0.51,6.9394219e-05,0.51,0.00015388049,0.51,0.00036199481,0.51,2.4440824e-05,0.51,6.0110328e-05,0.51,0.00013553664,0.51,0.00032751006
0.54,2.9844789e-05,0.54,7.5800299e-05,0.54,0.00016191481,0.54,0.00037292983,0.54,2.8506759e-05,0.54,6.6312538e-05,0.54,0.00014338431,0.54,0.00033804164
