V_D=0.05 X,V_D=0.05 Y,V_D=0.4 X,V_D=0.4 Y
0.03,1.0466899e-07,0.03,8.242858e-06
0.06,1.0779991e-07,0.06,8.4127213e-06
0.09,1.1130206e-07,0.09,8.5910838e-06
0.12,1.1539275e-07,0.12,8.7815771e-06
0.15,1.2044156e-07,0.15,8.9901225e-06
0.18,1.2707638e-07,0.18,9.2262918e-06
0.21,1.3635973e-07,0.21,9.5053105e-06
0.24,1.5007915e-07,0.24,9.8507902e-06
0.27,1.7121563e-07,0.27,1.0298013e-05
0.3,2.0467844e-07,0.3,1.0897007e-05
0.33,2.5840968e-07,0.33,1.1713863e-05
0.36,3.44935e-07,0.36,1.2828132e-05
0.39,4.8331108e-07,0.39,1.4324981e-05
0.42,7.0109431e-07,0.42,1.6283309e-05
0.45,1.0353896e-06,0.45,1.8763868e-05
0.48,1.5314385e-06,0.48,2.1802097e-05
0.51,2.2372361e-06,0.51,2.540739e-05
0.54,3.1941929e-06,0.54,2.9567585e-05
0.57,4.4266596e-06,0.57,3.4255576e-05
0.6,5.9350508e-06,0.6,3.9435663e-05
0.63,7.6959751e-06,0.63,4.5068473e-05
0.66,9.6688673e-06,0.66,5.1114223e-05
0.69,1.1805439e-05,0.69,5.753465e-05
0.72,1.4058008e-05,0.72,6.4294072e-05
0.75,1.6384715e-05,0.75,7.1359733e-05
0.78,1.8751603e-05,0.78,7.8701828e-05
0.81,2.1132621e-05,0.81,8.6293468e-05
0.84,2.3508531e-05,0.84,9.4110374e-05
0.87,2.586558e-05,0.87,0.0001021306
0.9,2.8194161e-05,0.9,0.0001103343
0.93,3.0487757e-05,0.93,0.00011870341
0.96,3.274209e-05,0.96,0.00012722149
0.99,3.4954503e-05,0.99,0.00013587345
1.02,3.7123495e-05,1.02,0.00014464539
1.05,3.9248394e-05,1.05,0.00015352444
1.08,4.1329109e-05,1.08,0.00016249858
1.11,4.3365965e-05,1.11,0.00017155657
1.14,4.5359572e-05,1.14,0.00018068781
1.17,4.7310738e-05,1.17,0.00018988223
1.2,4.9220405e-05,1.2,0.00019913021
1.23,5.108959e-05,1.23,0.00020842267
1.26,5.2919377e-05,1.26,0.00021775079
1.29,5.4710858e-05,1.29,0.00022710616
1.32,5.6465146e-05,1.32,0.00023648067
1.35,5.8183338e-05,1.35,0.00024586646
1.38,5.9866524e-05,1.38,0.00025525601
1.41,6.1515766e-05,1.41,0.00026464206
1.44,6.3132105e-05,1.44,0.00027401766
1.47,6.4716549e-05,1.47,0.00028337616
1.5,6.627008e-05,1.5,0.00029271125
1.53,6.7793643e-05,1.53,0.00030201694
1.56,6.9288156e-05,1.56,0.00031128757
1.59,7.0754502e-05,1.59,0.00032051785
1.62,7.2193532e-05,1.62,0.00032970286
1.65,7.3606069e-05,1.65,0.00033883802
1.68,7.4992902e-05,1.68,0.00034791915
1.71,7.6354794e-05,1.71,0.00035694239
1.74,7.7692479e-05,1.74,0.00036590427
1.77,7.9006661e-05,1.77,0.00037480162
1.8,8.0298021e-05,1.8,0.00038363162
1.83,8.1567213e-05,1.83,0.00039239178
1.86,8.2814868e-05,1.86,0.00040107989
1.89,8.4041591e-05,1.89,0.00040969402
1.92,8.5247968e-05,1.92,0.00041823248
1.95,8.6434562e-05,1.95,0.00042669387
1.98,8.7601914e-05,1.98,0.00043507698
2.01,8.8750548e-05,2.01,0.00044338082
2.04,8.9880967e-05,2.04,0.0004516046
2.07,9.0993657e-05,2.07,0.00045974772
2.1,9.2089087e-05,2.1,0.00046780972
2.13,9.3167709e-05,2.13,0.00047579028
2.16,9.422996e-05,2.16,0.00048368922
2.19,9.527626e-05,2.19,0.00049150649
2.22,9.6307018e-05,2.22,0.00049924215
2.25,9.7322627e-05,2.25,0.00050689634
2.28,9.8323467e-05,2.28,0.0005144693
2.31,9.930991e-05,2.31,0.00052196136
2.34,0.00010028224,2.34,0.00052937277
2.37,0.00010124085,2.37,0.0005367042
2.4,0.000102186,2.4,0.00054395613
2.43,0.00010311808,2.43,0.00055112914
2.46,0.00010403742,2.46,0.00055822386
2.49,0.00010494431,2.49,0.00056524095
2.52,0.00010583904,2.52,0.00057218107
2.55,0.00010672189,2.55,0.00057904502
2.58,0.00010759313,2.58,0.00058583354
2.61,0.00010845303,2.61,0.00059254738
2.64,0.00010930184,2.64,0.00059918736
2.67,0.00011013981,2.67,0.00060575429
2.7,0.00011096718,2.7,0.00061224905
2.73,0.00011178417,2.73,0.00061867248
2.76,0.00011259103,2.76,0.00062502531
2.79,0.00011338796,2.79,0.00063130837
2.82,0.00011417518,2.82,0.00063752272
2.85,0.0001149529,2.85,0.0006436692
2.88,0.00011572132,2.88,0.00064974872
2.91,0.00011648063,2.91,0.00065576213
2.94,0.00011723102,2.94,0.00066171033
2.97,0.00011797268,2.97,0.00066759422
3,0.00011870578,3,0.00067341466

