vg=0.3 X,vg=0.3 Y,vg=0.6 X,vg=0.6 Y,vgs=0.9 X,vgs=0.9 Y,vgs=1.5 X,vgs=1.5 Y
0.03,1.4052793e-07,0.03,4.0933274e-06,0.03,1.8162289e-05,0.03,4.1198226e-05
0.06,2.4075247e-07,0.06,6.7021721e-06,0.06,3.2649887e-05,0.06,7.8100872e-05
0.09,3.748807e-07,0.09,8.7094468e-06,0.09,4.4061166e-05,0.09,0.0001108637
0.12,5.7553346e-07,0.12,1.0630148e-05,0.12,5.3122239e-05,0.12,0.00013978122
0.15,8.7152813e-07,0.15,1.2666512e-05,0.15,6.0568424e-05,0.15,0.00016520851
0.18,1.2979994e-06,0.18,1.4896125e-05,0.18,6.7038946e-05,0.18,0.00018753703
0.21,1.8958887e-06,0.21,1.736788e-05,0.21,7.3006409e-05,0.21,0.00020717674
0.24,2.7093599e-06,0.24,2.0124494e-05,0.24,7.8780661e-05,0.24,0.00022454214
0.27,3.7819311e-06,0.27,2.3203707e-05,0.27,8.4555427e-05,0.27,0.00024003881
0.3,5.1521647e-06,0.3,2.6635572e-05,0.3,9.045181e-05,0.3,0.0002540497
0.33,6.850074e-06,0.33,3.0439914e-05,0.33,9.6544798e-05,0.33,0.00026692218
0.36,8.8950421e-06,0.36,3.4625188e-05,0.36,0.00010287784,0.36,0.00027895738
0.39,1.1295614e-05,0.39,3.9189123e-05,0.39,0.00010947183,0.39,0.00029040373
0.42,1.4050872e-05,0.42,4.4120372e-05,0.42,0.00011633163,0.42,0.00030145612
0.45,1.7152692e-05,0.45,4.9401155e-05,0.45,0.00012345097,0.45,0.00031226017
0.48,2.0588122e-05,0.48,5.5010077e-05,0.48,0.00013081701,0.48,0.00032291962
0.51,2.4341415e-05,0.51,6.0923993e-05,0.51,0.00013841366,0.51,0.00033350483
0.54,2.8395642e-05,0.54,6.7119333e-05,0.54,0.00014622331,0.54,0.0003440613
0.57,3.2733786e-05,0.57,7.3573311e-05,0.57,0.00015422795,0.57,0.00035461667
0.6,3.7339404e-05,0.6,8.026456e-05,0.6,0.00016241015,0.6,0.00036518707
0.63,4.2196909e-05,0.63,8.7173269e-05,0.63,0.00017075354,0.63,0.0003757814
0.66,4.7291642e-05,0.66,9.4280924e-05,0.66,0.00017924301,0.66,0.00038640358
0.69,5.2609692e-05,0.69,0.00010157099,0.69,0.00018786436,0.69,0.00039705434
0.72,5.8137769e-05,0.72,0.00010902805,0.72,0.00019660447,0.72,0.00040773217
0.75,6.3863168e-05,0.75,0.00011663764,0.75,0.00020545106,0.75,0.00041843379
0.78,6.9773752e-05,0.78,0.00012438633,0.78,0.00021439275,0.78,0.00042915538
0.81,7.5857897e-05,0.81,0.00013226164,0.81,0.00022341905,0.81,0.00043989236
0.84,8.2104455e-05,0.84,0.00014025203,0.84,0.00023252013,0.84,0.00045063985
0.87,8.8502733e-05,0.87,0.00014834654,0.87,0.00024168698,0.87,0.00046139281
0.9,9.5042437e-05,0.9,0.00015653478,0.9,0.00025091121,0.9,0.00047214612
0.93,0.00010171362,0.93,0.00016480722,0.93,0.00026018371,0.93,0.00048289478
0.96,0.00010850672,0.96,0.00017315457,0.96,0.0002694954,0.96,0.00049363384
0.99,0.00011541267,0.99,0.00018156844,0.99,0.00027884108,0.99,0.00050435855
1.02,0.00012242283,1.02,0.00019004096,1.02,0.00028821449,1.02,0.00051506457
1.05,0.00012952904,1.05,0.00019856487,1.05,0.00029760908,1.05,0.00052574787
1.08,0.00013672358,1.08,0.0002071334,1.08,0.00030701895,1.08,0.00053640476
1.11,0.00014399911,1.11,0.00021574028,1.11,0.00031643954,1.11,0.00054703188
1.14,0.00015134875,1.14,0.00022437961,1.14,0.00032586608,1.14,0.00055762606
1.17,0.00015876599,1.17,0.00023304599,1.17,0.00033529426,1.17,0.00056818429
1.2,0.0001662447,1.2,0.00024173449,1.2,0.00034471993,1.2,0.00057870439
1.23,0.00017377916,1.23,0.00025044066,1.23,0.00035413959,1.23,0.00058918392
1.26,0.000181364,1.26,0.00025916042,1.26,0.00036355009,1.26,0.00059962101
1.29,0.00018899433,1.29,0.00026789004,1.29,0.0003729487,1.29,0.00061001371
1.32,0.00019666557,1.32,0.00027662619,1.32,0.00038233287,1.32,0.00062036098
1.35,0.00020437346,1.35,0.00028536586,1.35,0.00039170039,1.35,0.00063066178
1.38,0.00021211395,1.38,0.00029410609,1.38,0.00040104925,1.38,0.00064091562
1.41,0.00021988334,1.41,0.00030284447,1.41,0.0004103777,1.41,0.00065112135
1.44,0.00022767807,1.44,0.00031157857,1.44,0.00041968402,1.44,0.00066127844
1.47,0.00023549467,1.47,0.0003203061,1.47,0.00042896667,1.47,0.00067138601
1.5,0.00024332991,1.5,0.00032902488,1.5,0.00043822414,1.5,0.00068144384
1.53,0.00025118079,1.53,0.00033773273,1.53,0.00044745502,1.53,0.00069144835
1.56,0.00025904442,1.56,0.0003464278,1.56,0.00045665804,1.56,0.0007014008
1.59,0.00026691805,1.59,0.00035510839,1.59,0.00046583206,1.59,0.00071130309
1.62,0.00027479923,1.62,0.00036377287,1.62,0.0004749758,1.62,0.00072115484
1.65,0.00028268563,1.65,0.00037241978,1.65,0.00048408841,1.65,0.00073095552
1.68,0.00029057511,1.68,0.00038104778,1.68,0.00049316921,1.68,0.00074070545
1.71,0.00029846576,1.71,0.00038965558,1.71,0.00050221727,1.71,0.00075040468
1.74,0.00030635567,1.74,0.00039824222,1.74,0.00051123193,1.74,0.00076005262
1.77,0.00031424335,1.77,0.00040680663,1.77,0.00052021239,1.77,0.00076964873
1.8,0.00032212727,1.8,0.000415348,1.8,0.00052915823,1.8,0.00077919372
1.83,0.00033000595,1.83,0.00042386523,1.83,0.00053806894,1.83,0.00078868725
1.86,0.00033787799,1.86,0.00043235768,1.86,0.00054694405,1.86,0.00079812908
1.89,0.00034574207,1.89,0.00044082458,1.89,0.00055578298,1.89,0.00080751926
1.92,0.00035359688,1.92,0.00044926517,1.92,0.00056458477,1.92,0.00081685733
1.95,0.00036144107,1.95,0.00045767866,1.95,0.00057334918,1.95,0.00082614341
1.98,0.00036927344,1.98,0.00046606453,1.98,0.00058207622,1.98,0.0008353767
2.01,0.00037709299,2.01,0.00047442202,2.01,0.00059076552,2.01,0.0008445578
2.04,0.0003848985,2.04,0.0004827507,2.04,0.00059941689,2.04,0.00085368658
2.07,0.00039268905,2.07,0.00049105,2.07,0.00060803012,2.07,0.00086276321
2.1,0.00040046369,2.1,0.00049931942,2.1,0.00061660448,2.1,0.00087178811
2.13,0.00040822149,2.13,0.00050755878,2.13,0.00062514013,2.13,0.00088076142
2.16,0.00041596164,2.16,0.00051576776,2.16,0.00063363749,2.16,0.00088968348
2.19,0.00042368352,2.19,0.0005239462,2.19,0.0006420966,2.19,0.0008985546
2.22,0.00043138658,2.22,0.00053209384,2.22,0.00065051739,2.22,0.00090737568
2.25,0.00043907014,2.25,0.00054021066,2.25,0.00065890007,2.25,0.00091614729
2.28,0.00044673367,2.28,0.00054829649,2.28,0.00066724435,2.28,0.00092486936
